Layer,Name,GEOID,Population,Longitude,Latitude,UMP_2018-2022,EDX_2018-2022,HDX_2018-2022,INC_2018-2022,PCI_2018-2022,POV_2018-2022
,,,,,,"Unemployment rate (%), 2018-2022","Economic Diversity Index, 2018-2022","Hardship Index (score), 2018-2022","Median household income, 2018-2022","Per capita income, 2018-2022","Poverty rate (% of residents), 2018-2022"
Census tract,Tract 625,17031062500,1675,-87.67110730,41.94148800,7.181818181818183,0.4179025088334747,6.418759996,133781.90736263004,86238.50058785686,14.084507042253522
Census tract,Tract 626,17031062600,2477,-87.67098430,41.93597510,3.5050071530758222,0.332484930449344,0.715024932,179127.44821313693,119375.20339847822,2.6571067060312106
Census tract,Tract 627,17031062700,2955,-87.66611030,41.93608620,4.088194763435921,0.1570176870748298,1.27363816,138528.82095876127,88808.6375030502,7.472021066491112
Census tract,Tract 628,17031062800,3851,-87.66126480,41.93615860,1.261127596439169,0.272020179271204,0.089378116,152702.62632267797,107800.87650569,3.9462866538777743
Census tract,Tract 629,17031062900,4125,-87.65641130,41.93623700,2.636594663278272,0.1561351111111111,0.246965848,145871.54533152908,88886.57601100291,3.286611889801837
Census tract,Tract 630,17031063000,3417,-87.65156170,41.93631020,5.424254165052305,0.369896,2.459074231,95407.73681758689,74134.19184099026,8.982584784601283
Census tract,Tract 631,17031063100,2376,-87.64677990,41.93823190,1.8208661417322836,0.3083262745816258,0.315175463,91218.31278422325,82334.23980123783,7.397959183673469
Census tract,Tract 632,17031063200,6900,-87.63467260,41.93892310,3.044354838709677,0.4383815192743763,0.263430238,74289.15193327269,93660.99731582333,1.774960380348653
Census tract,Tract 633.01,17031063301,2833,-87.64302390,41.93454070,2.416452442159383,0.619366673750853,14.46867062,60926.823975687126,60544.46682490738,20.755347593582886
Census tract,Tract 633.02,17031063302,4577,-87.63985400,41.93476470,5.01082585833591,0.3098151393521398,4.48184213,86349.4483462366,71518.20874464828,4.583130180399805
Census tract,Tract 633.03,17031063303,1274,-87.63466130,41.93473120,8.862629246676514,0.2797399953011199,35.60071502,93984.6713547328,109832.77925419818,9.312080536912752
Census tract,Tract 634,17031063400,2417,-87.64673000,41.93465960,1.6463090812533192,0.4945801497986376,0.304591213,87871.54156037178,76945.47966902549,5.749486652977413
Census tract,Tract 701.01,17031070101,4171,-87.63232470,41.92952250,2.756809977026584,0.5560530327585378,1.865180167,85753.44799130414,90546.20776858403,10.45166921230635
Census tract,Tract 701.02,17031070102,3063,-87.64220200,41.93058280,1.0452961672473868,0.3812072279892348,0.091730172,84944.72135584196,119591.59737349986,5.813553491572067
Census tract,Tract 701.03,17031070103,1845,-87.64260510,41.92681100,0.8688783570300158,0.4121874999999999,0.846740051,71634.65804476585,61832.74451518445,15.149409312022238
Census tract,Tract 702,17031070200,4200,-87.64629300,41.92907770,5.417463352453792,0.3215217423711631,1.400649167,99103.85594179107,79655.90589853367,5.330929693535926
Census tract,Tract 703,17031070300,4349,-87.65131030,41.92904620,2.071428571428571,0.2073072420705396,0.451594694,175179.1750926152,98596.797178287,12.275132275132275
Census tract,Tract 704,17031070400,3250,-87.65615630,41.92896720,1.0223953261927945,0.0677816260256529,0.509220058,223541.39466270324,131473.093679984,10.435545162233264
Census tract,Tract 705,17031070500,3322,-87.66089220,41.92894550,1.1391778107974244,0.235892769483124,0.214037068,171241.9050555691,106289.7863750305,1.5948422124194097
Census tract,Tract 706,17031070600,3449,-87.66567660,41.92876270,0.9958071278825996,0.1251451983535768,0.268134349,229231.8226668737,120650.64415803367,5.698184095178459
Census tract,Tract 707,17031070700,3699,-87.67410380,41.93065210,1.9255455712451863,0.293070849599972,1.343023803,146707.77967568047,94583.42248053417,6.843090082865544
Census tract,Tract 710,17031071000,4357,-87.65591140,41.92170110,10.759753593429158,0.0832687069379907,14.24052122,185324.01805718848,63660.173295769644,10.07361487795428
Census tract,Tract 711,17031071100,3091,-87.65106140,41.92177780,2.44879786286732,0.0989562267203546,0.103490451,189165.0111138224,109351.39435213736,3.6942209217264086
Census tract,Tract 712,17031071200,2973,-87.64621060,41.92185470,7.495069033530571,0.4555993411313359,8.065198984,115148.18549657268,87572.62445928258,14.124056999161777
Census tract,Tract 713,17031071300,3893,-87.64145780,41.92177940,4.931605471562276,0.4190950512085354,3.249364945,109002.04645178464,96168.7834246545,14.6282392831194
Census tract,Tract 714,17031071400,4962,-87.62952590,41.92272550,3.333333333333333,0.333843037932337,2.108617932,108467.47997959137,105459.05357261696,16.98509342851144
Census tract,Tract 715,17031071500,6282,-87.62509230,41.91424150,4.220853296828656,0.5111710113574905,0.985511337,106356.72179950752,93595.89573859224,5.124353196461359
Census tract,Tract 716,17031071600,1793,-87.64118230,41.91647220,3.0067895247332688,0.150683887459034,0.709144793,211179.43037778122,126019.2319705406,6.305832895428271
Census tract,Tract 717,17031071700,1660,-87.64107170,41.91286660,2.624309392265193,0.3803544861155304,2.930661398,137194.69708733555,91190.80507553405,8.350168350168351
Census tract,Tract 718,17031071800,2652,-87.64596600,41.91458550,2.31042654028436,0.2475715088780691,0.444538527,194354.7988198496,130933.94258967589,4.050073637702504
Census tract,Tract 801,17031080100,6388,-87.62679000,41.90754870,5.086136177194422,0.29195262925695,2.128610405,105153.71800616695,112463.43312850772,7.628273043741486
Census tract,Tract 802.01,17031080201,3375,-87.63100510,41.90949760,7.538330494037479,0.300644631321007,1.041960674,103344.62769804121,133278.51629361787,1.9777503090234856
Census tract,Tract 802.02,17031080202,4225,-87.63090100,41.90585890,0.7042253521126761,0.3523923257542124,0.10937059,95312.3767607977,127585.33751857848,10.12221041445271
Census tract,Tract 803,17031080300,5499,-87.63579870,41.90748990,2.061170212765957,0.4099426125886076,1.003151755,144059.70425253443,91982.11016215976,8.875942426319398
Census tract,Tract 804,17031080400,4569,-87.64090150,41.90741230,6.883814640698456,0.6423894293092713,34.12362405,,74245.13959936998,21.54195011337869
Census tract,Tract 810,17031081000,8746,-87.63210890,41.90026550,1.5758821514217198,0.4896364265927977,11.16756045,72946.77574924022,65915.80540828324,19.035719535499044
Census tract,Tract 811,17031081100,4187,-87.62910490,41.90022110,1.7388555169143216,0.4940363636363636,3.045912127,75223.49710508219,75990.96217751059,18.608305274971944
Census tract,Tract 812.01,17031081201,5080,-87.62621200,41.89915380,1.8943170488534395,0.1724047923044702,0.223445291,118241.8858004836,115753.35508773486,3.7081339712918657
Census tract,Tract 812.02,17031081202,3357,-87.62423740,41.90437690,1.1111111111111112,0.2684753262508768,1.167795653,162863.0569888418,154642.83670888882,3.57870235670643
Census tract,Tract 813,17031081300,5540,-87.62075310,41.89833540,2.1880544056771143,0.2687797474277904,2.395568727,106751.91588100888,103274.94150269526,9.328234120385767
Census tract,Tract 814.01,17031081401,2508,-87.61971750,41.89503470,0.3506311360448808,0.4212110928376884,1.219540879,68248.45910512655,92257.18724905165,9.291412482402627
Census tract,Tract 814.02,17031081402,7052,-87.61293100,41.89102150,3.796467176377537,0.2866206282022722,1.01138395,145814.69606690475,129394.42782670422,10.265903736115789
Census tract,Tract 814.03,17031081403,9843,-87.62095600,41.89299080,2.729044834307992,0.3825585333671871,1.30656694,104576.97304731693,108843.41866501031,13.107822410147993
Census tract,Tract 815,17031081500,5917,-87.62607870,41.89290640,0.9509509509509512,0.1865161930166547,0.037632891,139029.46125690453,152457.80771534416,6.763681082188973
Census tract,Tract 816,17031081600,4168,-87.62887080,41.89205720,3.2364597093791283,0.2334710641316262,0.047041114,144528.25222387363,113971.77248829832,3.785234899328859
Census tract,Tract 817,17031081700,5537,-87.63183160,41.89221850,2.232641214556821,0.3848670693622615,0.23520557,121861.900263981,102204.89163468577,8.050603795284646
Census tract,Tract 818,17031081800,11373,-87.63918950,41.89332430,3.410805916088137,0.2272310041605095,0.265782294,150458.91421726302,127175.47265910955,5.723409481699828
Census tract,Tract 819,17031081900,1325,-87.64148700,41.89799000,2.511961722488038,0.573421550094518,2.121554238,178876.21114044232,128438.07648794338,15.57155715571557
Census tract,Tract 901,17031090100,3585,-87.81358720,42.01525520,6.724845995893223,0.5319363038714391,23.7204817,114310.11730517536,47027.17877503937,9.52921157118548
Census tract,Tract 902,17031090200,6626,-87.81309610,42.00559400,1.1351052048726469,0.5425110755019322,5.254492426,109499.93597905898,58331.930122673526,4.36587240584166
Census tract,Tract 903,17031090300,1314,-87.81636440,41.99911270,4.227212681638045,0.6714592851384037,17.49459027,98696.74185319105,43597.88442512034,7.863501483679524
Census tract,Tract 1001,17031100100,5538,-87.78301360,41.98958400,3.0090563832895123,0.695642183746269,25.16934801,100046.45342620731,40234.60857605537,10.797962648556876
Census tract,Tract 1002,17031100200,7024,-87.79425890,41.99577340,6.3011659637807,0.7135334587337989,37.12955123,98890.21273763836,46587.05543601233,6.445922106120233
Census tract,Tract 1003,17031100300,6252,-87.80425970,41.98873300,1.5346181299072092,0.710557678526955,47.33041678,76353.14700858493,42636.03154462166,10.693548387096774
Census tract,Tract 1004,17031100400,3207,-87.81804110,41.98896870,3.532136653155762,0.5118224664500399,18.12729325,131245.6966214867,50198.81758690299,2.075187969924812
Census tract,Tract 1005,17031100500,6116,-87.81973140,41.97804530,2.17983651226158,0.5577513362784434,13.64897921,100461.81982741409,56694.304532043745,1.30718954248366
Census tract,Tract 1006,17031100600,4897,-87.79740070,41.97920490,3.095507738769347,0.7576678949041029,33.07107912,77021.58432973224,40548.196455112135,10.48026048026048
Census tract,Tract 1007,17031100700,4967,-87.79762950,41.97212350,9.721706864564007,0.6732007720148625,51.09723398,107500.12555735486,40537.19337163646,9.084139985107967
Census tract,Tract 1101,17031110100,5568,-87.76967290,41.98747560,4.176401869158879,0.6897292391625118,33.6908458,88495.96654761641,39455.22349652831,11.340027700831024
Census tract,Tract 1102,17031110200,2772,-87.77344420,41.98006990,14.413341274568197,0.7613246800559148,55.96128516,63106.35142749395,39223.24181991615,7.054236086494151
Census tract,Tract 1103,17031110300,5348,-87.78323490,41.97529070,8.389012620638455,0.7460940289625074,50.10819456,106210.01401983184,34765.1591650214,8.05052790346908
Census tract,Tract 1104,17031110400,4522,-87.77261140,41.97295360,4.467084639498433,0.7782554808836096,36.06995014,74500.04436655648,39479.06351072561,7.247355390501912
Census tract,Tract 1105.01,17031110501,4786,-87.76192490,41.97700230,3.252299605781866,0.6942051525691133,32.17376987,92811.00911732735,39212.23873644047,8.151210868281158
Census tract,Tract 1105.02,17031110502,3220,-87.75985230,41.97028650,3.804347826086957,0.7450210765144898,34.22241039,65505.02362519133,39945.77763481887,10.359467874327768
Census tract,Tract 1201,17031120100,4402,-87.77500650,42.00198170,9.47986577181208,0.4421771500059557,17.42050052,147130.481465871,69136.95809578738,2.013729977116705
Census tract,Tract 1202,17031120200,4748,-87.75761080,41.99453190,1.4360938247965531,0.4334660558100791,9.024837708,136902.19845160717,59009.53668005057,1.7493986442160503
Census tract,Tract 1203,17031120300,6920,-87.74006600,41.99111220,2.588801926550271,0.5180099768520148,9.454087873,129275.22775571773,77479.12921759578,3.012219380505825
Census tract,Tract 1204,17031120400,3526,-87.75216240,41.97723540,6.4048620850864895,0.6320926140707706,34.14596858,102466.21486723308,43540.118236873044,10.505735140771638
